OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
53,Cirsium occidentale var. candidissimum,Snowy Thistle,Asteraceae,,Perennial,Summer,Magenta,7-12 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie;Woodland,Part shade;Sun,All,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",©2001 Gary A. Monroe (CC BY-NC 3.0),,©2002 Gary A. Monroe (CC BY-NC 3.0),©1981 Gary A. Monroe (CC BY-NC 3.0),©2005 George W. Hartwell
54,Cirsium occidentale var. compactum,Compact Cobweb Thistle,Asteraceae,,Perennial,Spring,Magenta,4-6 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie;Woodland,Part shade;Sun,All,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard;Roof,NA,NA,"Rare: CNPS 1B.2 . Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",Gerald and Buff Corsi © California Academy of Sciences,,©1981 California Native Plant Society,©1993 California Native Plant Society,©2005 Laura Ann Eliassen
55,Cirsium occidentale var. occidentale,Cobweb Thistle,Asteraceae,,Perennial,Summer,Pink,1-3 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun,Clay;Loam,,Low,Buds/greens;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,No,Backyard,21,NA,"Very temperamental plant. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",©2009 Dr. Mark S. Brunell,,©2013 Robert Steers/NPS,©2009 Dr. Mark S. Brunell,"© Br. Alfred Brousseau, Saint Mary's College"
56,Cirsium quercetorum,Brownie Thistle,Asteraceae,,Perennial,Summer,White,1-3 ft,SF Native,Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,Low,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,"Short plant that spreads well by runners. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",©2007 Neal Kramer,,"© Br. Alfred Brousseau, Saint Mary's College",©2010 Zoya Akulova (CC BY-NC 3.0),©2013 James Gonsman
57,Clarkia davyi,Davy's Clarkia,Onagraceae,,Annual,Summer,Pink,4-6 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Part shade;Sun,Clay;Loam;Sand,,Low,Nectar,"Bees, Butterflies",No,Backyard,NA,NA,,©2013 John Doyen,,"© Br. Alfred Brousseau, Saint Mary's College",©2013 Vernon Smith (CC BY-NC-ND 3.0),©2013 Robert Sikora
58,Clarkia purpurea,Winecup Clarkia,Onagraceae,,Annual,Spring;Summer,Pink,< 1 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Part shade;Sun,Clay;Loam;Sand,,Low,Nectar,"Bees, Butterflies",No,Backyard,NA,NA,,©2010 Vernon Smith (CC BY-NC-ND 3.0),,©2013 Joshua McDill (CC BY-NC-SA 3.0),©2005 Keir Morse (CC BY-NC-SA 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0)
59,Clarkia rubicunda,Farewell to Spring,Onagraceae,,Annual,Summer,Pink,1-3 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Part shade;Sun,Clay;Loam,,Low,Nectar,"Bees, Butterflies",No,Backyard,NA,NA,,©2009 Vernon Smith (CC BY-NC-ND 3.0),Oaktown;Native Here;Candlestick;Bay Natives;East Bay Wilds;,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2011 Margo Bors,©2011 Margo Bors
60,Clarkia unguiculata,Woodland Clarkia,Onagraceae,,Annual,Summer,Pink,4-6 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie,Part shade;Sun,Clay;Loam;Sand,,Low,Nectar,"Bees, Butterflies",No,Backyard;Roof,NA,NA,,©2001 George W. Hartwell,,©2011 Barry Breckling (CC BY-NC-SA 3.0),©2007 Chris Winchell,©2012 Diane Beauton & Cynthia Nunn.
61,Claytonia perfoliata,Miner's Lettuce,Montiaceae,,Annual,Spring;Winter,Pink;White,< 1 ft,SF Native ,Chaparral;Coastal scrub;Woodland,Part Shade,Clay;Loam;Sand,,Low,Buds/greens;Cover;Fruit;Nectar,Birds;Insects,No,Backyard,NA,NA,Prolific plant. Attracts Mourning Doves and California Quail.,Albert P. Bekker © California Academy of Sciences,,©2010 Steven Thorsted (CC BY-NC 3.0),©2005 Charles E. Jones,"© Br. Alfred Brousseau, Saint Mary's College"
62,Clematis ligusticifolia,Western Virgin's Bower,Ranunculaceae,,Perennial,Summer,White,> 24 ft,CA Native,Wetland,Part shade;Sun,Loam;Sand,,Moderate,Cover;Nectar,Butterflies;Hummingbirds,Yes,Backyard;Roof,NA,NA,,©2010 Barry Breckling (CC BY-NC-SA 3.0),,©2010 Lee Dittmann,©2010 Lee Dittmann,Beatrice F. Howitt © California Academy of Sciences
63,Clinopodium douglasii,Yerba Buena,Lamiaceae,Satureja douglasii,Perennial,Summer,White,< 1 ft,SF Native ,Coastal scrub;Woodland,Part Shade,All,Minimal,Low,Cover,No data,Yes,Backyard;Roof,NA,NA,Temperamental and may not persist. Fragrant foliage.,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2012 Jean Pawek,©2012 Aaron Arthur,©2012 Gary McDonald
64,Collinsia heterophylla,Chinese Houses,Plantaginaceae,,Annual,Spring;Summer,Purple,4-6 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens,Bees;Butterflies;Insects,No,Backyard,NA,NA,Rare plant. Attracts Checkerspot Butterfly.,©2009 Lynn Watson,,"© Br. Alfred Brousseau, Saint Mary's College",©2010 Neal Kramer,©2008 Steve Matson
65,Cordyline australis,Cabbage Palm,Asparagaceae,,Tree (evergreen),Summer,,13-24 ft,Exotic,,Part shade;Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Needs very large basin, take care when planting near natural areas.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Cordyline australis Photo Record."" 1995-2012. Jul 3, 2014."
66,Corethrogyne filaginifolia,Common Sand Aster,Asteraceae,Lessingia filaginifolia,Perennial,Summer,Pink;Purple,1-3 ft,CA Native,Chaparral;Coastal scrub;Dunes,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard;Roof,NA,NA,,©2012 Robert Sikora,,©2013 Neal Kramer,©2012 Robert Sikora,©2012 Robert Sikora
67,Cornus sericea,American Dogwood,Cornaceae,,Shrub (deciduous),Spring;Summer,White,4-6 ft,SF Native ,Wetland;Riparian,Part shade;Sun,All,,Moderate,Buds/greens;Cover;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,NA,NA,Attracts Sprin Azure / Echo Blue (Celastrina ladon echo) butterfly.,"© Br. Alfred Brousseau, Saint Mary's College",,Charles Webber © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Jean Pawek
68,Cornus sericea ssp. occidentalis,California Dogwood,Cornaceae,,Shrub (deciduous),Summer,White,7-12 ft,SF Native,Wetland;Riparian,Shade;Sun,All,,Moderate,Buds/greens,Birds;Insects,No,Backyard,11,NA,Attracts Cedar Waxwing bird.,©2011 Aaron Arthur,,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2011 Margo Bors,©2011 Margo Bors
69,Corylus cornuta,California Hazelnut,Betulaceae,,Tree (deciduous),Winter,Red,7-12 ft,SF Native ,Coastal scrub; Woodland;Riparian,Shade;Sun,Clay;Loam;Sand,,Low,Fruit,Birds,Yes,Backyard,NA,NA,,©2009 Keir Morse (CC BY-NC-SA 3.0),,©2010 Barry Breckling (CC BY-NC-SA 3.0),Charles Webber © California Academy of Sciences,©2011 Aaron Arthur
70,Corymbia ficifolia,Red Flowering Gum,Myrtaceae,,Tree (evergreen),Summer,Red,> 24 ft,Exotic,,Sun,,,Low,,Bees;Birds;Butterflies,No,Sidewalk,NA,2 (B),"Needs a very large basin, wide sidewalk.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Corymbia ficifolia Photo Record."" 1995-2012. Jul 3, 2014."
71,Crataegus laevigata,English Hawthorn,Rosaceae,,Tree (deciduous),Spring,Pink,13-24 ft,Exotic,,Sun,Clay;Sand,,Low,,,No,Sidewalk,NA,2 (B),Needs wind protection.,"SelecTree. ""Crataegus laevigata Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Crataegus laevigata Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Crataegus laevigata Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Crataegus laevigata Photo Record."" 1995-2012. Jul 3, 2014."
72,Crataegus phaenopyrum,Washington Hawthorn,Rosaceae,,Tree (deciduous),Spring,White,13-24 ft,Exotic,,Part shade;Sun,,,Low,,Birds;Butterflies;Bees,No,Sidewalk,NA,2 (B),"Subject to pests, has thorns, may be susceptible to fireblight.","SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Crataegus phaenopyrum Photo Record."" 1995-2012. Jul 3, 2014.",F.D. Richards (CC BY-SA 2.0)
73,Crataegus x Lavallei,Lavallée's hawthorn,Rosaceae,,Tree (deciduous),,White,13-24 ft,Exotic,,,,,NA,,,No,Sidewalk,NA,2 (B),,"SelecTree. ""Crataegus _ lavallei 'Carrierei' Photo Record."" 1995-2012. Jul 7, 2014.",,Jami Dwyer (CC BY-SA 2.0),Margrit (CC BY-NC-SA 2.0),Jon Sullivan (CC BY-NC 2.0)
74,Cressa truxillensis,Alkali Weed,Convolvulaceae,"C.depressa, C. insularis",Perennial,Summer,White,< 1 ft,CA Native,Chaparral;Wetland,Shade;Sun,Loam;Sand,Minimal,Low,No data,No data,No,Backyard,NA,NA,,©2013 Neal Kramer,,©2013 Don Davis (CC BY-NC-SA 3.0),©2001 James Reiter,©2008 Zoya Akulova (CC BY-NC 3.0)
75,Cupaniopsis anacardioides,Carrot Wood,Sapindaceae,,Tree (evergreen),Summer,,> 24 ft,Exotic,,Shade;Sun,,,NA,,,No,Sidewalk,NA,1 (A),"Uneven performer, needs heat, wind protection.","SelecTree. ""Cupaniopsis anacardioides Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Cupaniopsis anacardioides Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Cupaniopsis anacardioides Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Cupaniopsis anacardioides Photo Record."" 1995-2012. Jul 7, 2014."
76,Danthonia californica,California Oatgrass,Poaceae,,Grass,Winter,Brown;Green,1-3 ft,SF Native ,Grassland/prairie;Coastal scrub;Wetland;Woodland,Sun,Clay;Loam;Sand,Minimal,Low,Fruit,Birds;Butterflies,No,Backyard,10,NA,"Deep roots, takes to hillsides well, and better erosion protection than most trees.",©2010 Aaron Arthur,,©2010 Rebecca Wenk,©2011 Hattie Brown,©2007 Steve Matson
77,Deinandra corymbosa,Coast Tarweed,Asteraceae,Hemizonia corymbosa,Annual,Fall;Spring;Summer,Yellow,1-3 ft,SF Native ,Grassland/prairie,Sun,Clay,,Low,Buds/greens;Fruit;Nectar,Bees;Birds;Insects,No,Backyard,NA,NA,Best on east side of the city.,©2010 Aaron Arthur,,©2011 Chris Winchell,©2012 Jake Ruygt,©2010 Aaron Arthur
78,Deschampsia cespitosa ssp. holciformis,Tufted Hairgrass,Poaceae,,Grass,Summer,Brown;Green,< 1 ft,SF Native ,Coastal scrub;Grassland/prairie;Wetland;Woodland,Shade;Sun,Clay;Loam,,Low,Fruit,Birds;Butterflies,Yes,Backyard,NA,NA,Not drought tolerant.,©2010 Zoya Akulova (CC BY-NC 3.0),Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;,©2010 Zoya Akulova (CC BY-NC 3.0),©2013 Robert Steers/NPS,©2012 Vernon Smith (CC BY-NC-ND 3.0)
79,Distichlis spicata,Saltgrass,Poaceae,,Grass,Summer,Green;Yellow,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens;Fruit,Birds;Butterflies,Yes,Backyard,24,NA,Attracts Westen Pygmy Blue butterfly (Brephidium exile).,©2009 Keir Morse (CC BY-NC-SA 3.0),,©2010 Vernon Smith (CC BY-NC-ND 3.0),©2012 Jorg & Mimi Fleige (CC BY-NC 3.0),©2009 Robert Sivinski (CC BY-NC 3.0)
80,Dudleya brittonii D. pulverulenta,Chalk Dudleya,Crassulaceae,,Perennial,Spring,Green,< 1 ft,CA Native,Chaparral,Sun,Clay,Minimal,Low,No data,No data,No,Backyard,NA,NA,Good for containers / medians. Chalky foliage.,Stan Shebs (CC BY-SA 3.0),,©2010 Michael O'Brien,©2000 Joseph Dougherty/ecology.org,©2005 Michael W. Tuma
81,Dudleya caespitosa,"Sea Lettuce, Coast Dudleya",Crassulaceae,Dudleya cotyledon,Perennial,Summer,Yellow,< 1 ft,CA Native,Grassland/prairie,Part shade;Sun,Clay,Minimal,Low,Nectar,Birds;Butterflies;Hummingbirds,No,Backyard;Roof,NA,NA,,©2013 Judith Elaine Bush (CC BY-NC-SA 3.0),,©2012 CountryMouse13 (CC BY-NC-ND 2.0),©2013 Peggy A. Lopipero-Langmo (CC BY-SA 2.0),©2009 Pamla J. Eisenberg (CC BY-SA 2.0)
82,Dudleya farinosa,North Coast Dudleya,Crassulaceae,,Perennial,Spring,Yellow,< 1 ft,SF Native ,Grassland/prairie;Coastal scrub,Part shade;Sun,Rock;Sand,Minimal,Low,Nectar,Hummingbirds,No,Backyard;Roof,NA,NA,Produces green or glaucus form. Plant next to concrete to wick moisture. Chalky white and red foliage.,©2002 Brad Kelley,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©1998 Gary A. Monroe (CC BY-NC 3.0),©2013 Robert Sikora,©2013 Robert Sikora
83,Elaeocarpus decipiens,Japanese Blueberry Tree,Elaeocarpaceae,,Tree (evergreen),Summer,White,13-24 ft,Exotic,,,Sun,,NA,,Bees;Birds;Butterflies,No,Sidewalk,NA,2 (B),"Slow growing, keep out of strong/ prevailing wind, flowers and may not produce fruit at maturity here .",© 2014 Monrovia,,"Illustrations and photos by Maria del Pilar Paz, Biological Scientist, Environmental Horticulture Department, IFAS, University of Florida.","Illustrations and photos by Maria del Pilar Paz, Biological Scientist, Environmental Horticulture Department, IFAS, University of Florida.","Illustrations and photos by Maria del Pilar Paz, Biological Scientist, Environmental Horticulture Department, IFAS, University of Florida."
84,Eleocharis macrostachya,Common or Creeping Spikerush,Cyperaceae,"E.perlonga, E.xyridiformis",Grass,Spring,Brown,1-3 ft,SF Native ,Riparian;Wetland,Sun,All,Minimal,Moderate,Buds/greens;Cover;Nesting,Birds,Yes,Backyard,NA,NA,Brown Seedhead.,©2007 Neal Kramer,,©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2004 Carol W. Witham
85,Eleocharis parvula,Dwarf Spikerush,Cyperaceae,"Chaetocyperus membranacea, Scirpus nanus var. anachaetus",Grass,Summer,Brown;Green,< 1 ft,CA Native,Wetland,Part shade;Sun,All,Minimal,Moderate,No data,No data,No,Backyard,NA,NA,CNPS Rare Plant,© Biopix: JC Schou,,Robert H. Mohlenbrock @ USDA-NRCS PLANTS Database / USDA SCS. 1991,© Larry Allain,©2006 John Maunder
86,Elymus glaucus,Blue Wild-rye,Poaceae,,Grass,Summer,Blue;Yellow,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Woodland,Part shade,Clay;Loam;Sand,,Low,Fruit,Birds;Butterflies,Yes,Backyard,23,NA,Versatile flower that is a weedfighter and survivor.,©2013 Jean Pawek,Oaktown;Native Here;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Flora Grubb,©2013 Jean Pawek,©2013 Jean Pawek,©2008 Keir Morse (CC BY-NC-SA 3.0)
87,Elymus mollis ssp. mollis,American Dune Grass,Poaceae,Leymus mollis ssp. mollis,Grass,Summer,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,Low,No data,No data,No,Backyard,13;7,NA,"Needs dunes and shifting sand, most likely by ocean beach.",© Mike LaBarbera,,© Avis Boutell,©2010 Robert Steers/NPS,© Jeb Bjerke
88,Elymus pacificus,Pacific wild rye,Poaceae,,Grass,Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Part shade;Sun,Clay;Loam;Sand,,Low,Fruit,Birds,No,Backyard,NA,NA,,© Avis Boutell,,© Avis Boutell,© Avis Boutell,©2006 Tom Annese
89,Elymus triticoides,Beardless wild rye,Poaceae,,Grass,Summer,Yellow,4-6 ft,SF Native ,Coastal scrub;Riparian;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Fruit,Birds,Yes,Backyard,NA,NA,Versatile flower that is a runner and good for binding.,© Matt Lavin,,© Matt Lavin,© Matt Lavin,© Matt Lavin
90,Encelia californica,Bush Sunflower,Asteraceae,,Shrub (evergreen),Spring;Summer;Winter,Yellow,4-6 ft,CA Native,Chaparral,Sun,Clay,Cut to ground,Low,Nectar,Bees;Birds;Butterflies,No,Backyard;Sidewalk,10,NA,Sunflower-like flowers. Attracts Red-Winged Blackbird.,©2004 BonTerra Consulting,,©2011 Zoya Akulova  (CC BY-NC 3.0),©2003 Michael Charters,©Las Pilitas Nursery
91,Epilobium brachycarpum,Annual Fireweed,Onagraceae,,Annual,Summer,Pink,4-6 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Shade;Sun,Clay;Loam;Sand,,None,Buds/greens;Fruit;Nectar,Birds;Hummingbirds;Insects,No,Backyard,NA,NA,Self-seeds. Attracts Lesser Goldfinches and Sphinx Moth.,©2007 Ron Wolf,,©2007 George W. Hartwell,"© Br. Alfred Brousseau, Saint Mary's College",©2002 Gary A. Monroe  (CC BY-NC 3.0)
92,Epilobium canum,California Fuchsia,Onagraceae,,Perennial,Fall;Summer,Orange;Pink,1-3 ft,CA Native,Coastal Scrub;Chaparral,Part shade;Sun,Loam;Rock;Sand,Cut to ground,Low,Nectar,Bees;Birds;Butterflies;Hummingbirds,Yes,Backyard;Roof,3,NA,Attracts Anna's Hummingbird and White Line Sphinx moth.,© 1993 Gary A. Monroe (CC BY-NC 3.0),Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,© Tony Frates  (CC BY-NC-SA 2.0),© 1993 Gary A. Monroe (CC BY-NC 3.0),© Don M. Davis  (CC BY-NC-ND 2.0)
93,Epilobium ciliatum ssp. watsonii,Willow Herb,Onagraceae,,Perennial,Spring;Summer,Pink,1-3 ft,SF Native ,Wetland;Coastal scrub;Riparian;Woodland,Part shade;Sun,All,,Low,Fruit;Nectar,Birds;Hummingbirds,No,Backyard,NA,NA,Self-seeds. Attracts Lesser Goldfinches.,© Ken Gardiner,,©2013 Jean Pawek,©1999 James B. Gratiot,© David A. Hofmann
94,Ericameria ericoides,Mock Heather,Asteraceae,,Shrub (evergreen),Fall,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,None,Cover,No data,No,Backyard;Sidewalk,13;24;9,NA,"Needs dunes and shifting sand, most likely by ocean beach.",©2003 Christopher L. Christie,,©2013 Aaron Arthur,Robert Potts © California Academy of Sciences,©2012 Jean Pawek
95,Erigeron glaucus,Seaside Daisy,Asteraceae,,Perennial,Spring;Winter,Pink,1-3 ft,SF Native ,Dunes;Coastal scrub,Part shade;Sun,Clay;Loam;Sand,,None,Nectar,Bees;Butterflies,Yes,Backyard;Roof;Sidewalk,14;15,NA,Adaptable to many locations. Attracts Green Hairstreak (Callophrys viridis) butterfly.,©1994 Gary A. Monroe (CC BY-NC 3.0),Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,Albert P. Bekker © California Academy of Sciences,©2010 Steven Thorsted (CC BY-NC 3.0),Charles Webber © California Academy of Sciences
96,Eriobotrya deflexa,Bronze Loquat,Asteraceae,,Tree (evergreen),Spring,White,13-24 ft,Exotic,,Part shade;Sun,,,Low,,Birds;Butterflies,No,Sidewalk,NA,2 (B),"Needs wind protection, does not perform well in sandy soils.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014."
97,Eriogonum latifolium,Coast Buckwheat,Polygonaceae,,Perennial,Summer,Pink,1-3 ft,SF Native ,Dunes;Coastal Scrub;Grassland/prairie,Part shade;Sun,Rock;Sand;Clay,,None,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard;Roof;Sidewalk,13;14;15;20;5,NA,Recommended. Attracts Green Hairstreak (Callophrys viridis) and Acmon Blue (Plebejus acmon) butterflies.,©2010 Zoya Akulova (CC BY-NC 3.0),Oaktown;Mission Blue;Candlestick;East Bay Wilds;Bay Natives;,©2004 Bob Huettmann,©2012 Robert Sikora,©2000 Joseph Dougherty/ecology.org
98,Eriophyllum staechadifolium,Lizardtail,Asteraceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Dunes;Coastal scrub,Part shade;Sun,Clay;Loam;Sand,,None,Nectar,Bees;Butterflies;Insects,No,Backyard;Roof;Sidewalk,9,NA,"Recommended. Likes the fog belt, but could do the east side.",©2005 Bob Huettmann,,©2013 Neal Kramer,©2013 Neal Kramer,©2013 Jean Pawek
99,Erysimum franciscanum,San Francisco Wallflower,Brassicaceae,,Perennial,Spring,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun,Loam;Sand;Clay;Rock,,None,Nectar,Bees;Butterflies,No,Backyard,NA,NA,CNPS Rare Plant,©2002 Doreen L. Smith,Oaktown;Mission Blue;Bay Natives;East Bay Wilds;,©2013 Neal Kramer,©2013 Neal Kramer,©2011 Dylan Neubauer
100,Escallonia bifida,White Escallonia,Escalloniaceae,,Perennial,Summer,White,7-12 ft,Exotic,,Sun,Loam,,Low,Nectar,Butterflies,No,Backyard,NA,NA,,© rachel greenbelt (CC by-nc-sa 2.0),,© ibsut (CC by-nc 2.0),© Nigel Taylor,© wally grom (CC by-nc-sa 2.0)
101,Eschscholzia californica,California Poppy,Papaveraceae,,Perennial,Spring;Summer,Orange;Yellow,1-3 ft,SF Native,Chaparral;Grassland/prairie;Woodland;Coastal scrub,Sun,All,,None,Cover;Nectar,Bees;Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,NA,NA,"Coastal form is smaller and more yellow, large orange form is native inland.","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,Charles Webber © California Academy of Sciences,Gerald and Buff Corsi © California Academy of Sciences,©2007 Neal Kramer
102,Eucalyptus nicholii,Nichol's Willowleafed Peppermint,Myrtaceae,,Tree (evergreen),Summer,White,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Needs a very large basin, wide sidewalk, fast grower, high maintenance.","SelecTree. ""Eucalyptus nicholii Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Eucalyptus nicholii Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus nicholii Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus nicholii Photo Record."" 1995-2012. Jul 7, 2014."
103,Eucalyptus polyanthemos,Silver Dollar Gum,Myrtaceae,,Tree (evergreen),Fall;Summer,White,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,Sidewalk,NA,2 (B),"Needs a large basin, fast grower, high maintenance.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014."
104,Euthamia occidentalis,Western Goldenrod,Asteraceae,Solidago occidentalis,Perennial,Fall;Summer,Yellow,4-6 ft,SF Native ,Grassland/prairie;Riparian;Wetland,Part shade;Sun,Clay;Loam;Sand,,Low,Nectar,Bees;Butterflies,yes,Backyard,NA,NA,,©2003 Michael Charters,,©2003 Michael Charters,©2003 Michael Charters,©2007 Neal Kramer
105,Festuca californica,California Fescue,Poaceae,,Grass,Spring;Winter,Yellow,1-3 ft,SF Native ,Woodland;Coastal scrub,Part shade,All,,Low,Cover,Butterflies,Yes,Backyard;Roof;Sidewalk,21,NA,Attracts Black-tailed jackrabbit.,©2007 California Native Plant Society,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2007 Neal Kramer,©2011 Aaron Arthur,©2001 CDFA (CC BY-NC 3.0)
106,Festuca idahoensis,Idaho Fescue,Poaceae,,Grass,Summer,Yellow,< 1 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Part shade;Sun,All,,None,Buds/greens;Nectar,Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,7,NA,,Bert Wilson © Las Pilitas Nursery,,© Andy Huber/GROWISER,©2008 Keir Morse (CC BY-NC-SA 3.0),©2005 Steve Matson
107,Festuca rubra,Red Fescue,Poaceae,,Grass,Spring,Yellow,< 1 ft,SF Native ,Chaparral;Grassland/prairie;Wetland;Woodland;Dunes,Part shade;Sun,Clay;Loam;Sand,,None,Cover;Fruit,Bees;Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,NA,NA,,©Forest and Kim Starr (CC BY 2.0),Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©oliveoligarchy (CC BY 2.0),©oliveoligarchy (CC BY 2.0),©oliveoligarchy (CC BY 2.0)
108,Festuca rubra 'Point Molate',Molate Fescue,Poaceae,,Grass,Spring,Indigo,1-3 ft,CA Native,Grassland/prairie,Part shade;Sun,Clay;Loam;Sand,,None,Cover;Fruit,Bees;Birds;Butterflies,No,Backyard;Roof,NA,NA,,Peggy A. Lopipero-Langmo (CC BY 2.0),,oliveoligarchy (CC BY 2.0),eNikodemus (CC BY 2.0),Starr Environmental (CC BY 2.0)
